 anno | cedola | ordini | colli | copie | righe  | titoli | linee |  f1  |  f2  |  f3  |  ff  | fp  |  fc  
 2015 |     12 |   2207 |  7034 | 47044 | 213880 |     74 |    47 | 2756 | 1076 |  748 | 2364 |  90 |     
 2015 |     13 |   2493 |  7129 | 56018 | 363444 |     80 |    47 | 4284 | 1128 | 1028 |  565 | 124 |     
 2015 |     14 |   2267 | 10110 | 55842 | 247618 |     86 |    47 | 4462 | 1088 |  760 | 3715 |  85 |     
 2015 |     15 |   2168 |  4768 | 38539 | 145079 |     62 |    48 | 1727 |  995 |  903 | 1094 |  49 |     
 2015 |     16 |   2348 |  8759 | 50796 | 379314 |     81 |    47 | 3135 | 1121 |  855 | 2383 | 212 | 1053
 2015 |     17 |   2360 |  7893 | 64790 | 246736 |     95 |    47 | 3247 | 1100 |  923 | 2561 |  62 |     
 2015 |     18 |   2761 | 10184 | 83046 | 441358 |    109 |    47 | 4634 | 1224 | 1221 | 2985 | 120 |     
 2015 |     19 |   2315 |  6289 | 55590 | 255109 |     80 |    47 | 3201 | 1152 |  826 | 1027 |  83 |     
 2015 |     20 |   2098 |  5074 | 46160 | 219686 |     70 |    47 | 2299 | 1070 |  736 |  887 |  82 |     
 2015 |     21 |   2337 |  7219 | 49084 | 206959 |     77 |    48 | 2866 | 1059 |  888 | 2339 |  67 |     
 2015 |     22 |   2226 |  9077 | 40687 | 262150 |     70 |    50 | 4251 |  925 |  733 | 3036 | 132 |     
 2015 |     23 |   2121 |  6132 | 49452 | 212204 |     80 |    47 | 2899 | 1156 |  638 | 1370 |  69 |     
 2015 |     24 |   1964 |  8835 | 53458 | 319804 |     90 |    47 | 4131 |  999 |  529 | 3062 | 114 |     
 2015 |     25 |   2509 |  5071 | 35970 | 178861 |     53 |    48 | 2184 |  894 | 1225 |  704 |  64 |     
 2015 |     26 |   1907 |  4264 | 27853 | 170232 |     45 |    47 | 2499 |  809 |  700 |  176 |  80 |     
 2015 |     27 |   1488 |  2072 | 22373 |  78878 |     38 |    46 |  887 |  732 |  417 |      |  36 |     
 2015 |     28 |   1278 |  1508 | 16484 |  63343 |     30 |    47 |  429 |  659 |  388 |      |  32 |     
 2015 |     29 |   1867 |  3768 | 27577 | 119599 |     40 |    46 | 1230 |  953 |  581 |  960 |  44 |     
 2015 |     30 |   1955 |  5525 | 37880 | 169245 |     56 |    46 | 2347 | 1096 |  494 | 1521 |  67 |     
 2015 |     31 |   2533 | 15959 | 82835 | 553090 |    135 |    46 | 7781 | 1289 |  883 | 2158 | 269 | 3579
 2015 |     32 |   2445 |  7316 | 64723 | 278819 |     99 |    46 | 3905 | 1119 |  952 | 1253 |  87 |     
 2015 |     33 |   2350 |  7023 | 47238 | 252343 |     68 |    46 | 3671 |  977 |  853 |  886 |  98 |  538
 2015 |     34 |   2294 |  9521 | 57644 | 339331 |     85 |    46 | 4886 | 1237 |  725 | 1123 | 116 | 1434
 2015 |     35 |   2415 |  8874 | 74687 | 301280 |    110 |    46 | 4913 | 1245 |  845 | 1778 |  93 |     
 2015 |     36 |   2572 | 13409 | 71454 | 361060 |    110 |    47 | 6067 | 1095 |  994 | 5135 | 118 |     
 2015 |     37 |   2296 |  9854 | 72943 | 430684 |    104 |    46 | 5796 | 1223 |  710 | 1058 | 169 |  898
 2015 |     38 |   2308 | 13781 | 74295 | 412003 |    126 |    47 | 5985 | 1324 |  684 | 5666 | 122 |     
 2015 |     39 |   2197 |  9116 | 81298 | 489069 |    123 |    45 | 6455 | 1176 |  585 |  509 | 166 |  225
 2015 |     40 |   2194 |  9731 | 56738 | 356773 |     83 |    44 | 5406 | 1149 |  645 | 1806 | 139 |  586
 2015 |     41 |   2190 | 10089 | 60644 | 361900 |     87 |    44 | 6143 | 1183 |  607 | 2031 | 125 |     
 2015 |     42 |   2251 | 13764 | 52804 | 511052 |     76 |    45 | 7469 | 1210 |  625 | 3342 | 202 |  916
 2015 |     43 |   2573 | 10493 | 47870 | 408672 |     69 |    47 | 4964 | 1256 |  949 | 2050 | 158 | 1116
 2015 |     44 |    336 |   428 |   754 |  10020 |     15 |    39 |  106 |  178 |   80 |      |  18 |   46
 2015 |     45 |   2220 |  4347 | 18096 | 116867 |     26 |    43 | 1072 | 1077 |  939 | 1177 |  82 |     
 2015 |    201 |    530 |   597 |  2474 |  13883 |      8 |    33 |  149 |  337 |   85 |      |  26 |     
 2015 |    202 |    290 |   364 |   290 |   6152 |      1 |    33 |  144 |  182 |   27 |      |  11 |     
 2015 |    601 |   1127 |  1524 | 27390 | 110847 |     25 |    41 |  552 |  789 |  151 |      |  32 |     
 2015 |   1201 |    641 |  1053 |   925 |  31242 |      3 |    39 |  199 |  255 |  266 |  303 |  30 |     
 2015 |   1202 |    182 |   408 |  1762 |  13949 |     15 |    33 |  108 |   13 |   72 |  198 |  17 |     
 2015 |   1701 |    108 |   315 |  1586 |   4581 |     16 |    25 |  105 |   92 |    9 |  103 |   6 |     
 2015 |   2301 |     99 |   209 |  1433 |   4743 |     15 |    24 |   96 |    5 |    1 |  101 |   6 |     
 2015 |   2601 |    354 |  1832 |   597 |  36630 |      8 |    10 |  104 |  145 |  102 |  300 |     | 1181
 2015 |   2801 |    365 |   534 |  1194 |  11081 |     11 |    35 |  237 |  211 |   51 |      |  15 |   20
 2015 |   2802 |    161 |   281 |   603 |   7016 |     12 |    29 |  131 |   74 |   26 |      |   7 |   43
 2015 |   2803 |    431 |   755 |  1244 |  18313 |     13 |    37 |  395 |  236 |   43 |      |  17 |   64
 2015 |   2804 |    232 |   618 |   232 |  15627 |      1 |    32 |  485 |   88 |   36 |      |   9 |     
 2015 |   2805 |    552 |   857 |  1284 |  17535 |     11 |    36 |  400 |  220 |  211 |      |  20 |    6
 2015 |   3101 |    138 |   138 |   138 |    881 |      1 |    33 |    1 |    1 |  127 |      |   9 |     
 2015 |   3301 |    216 |   421 |   216 |   9315 |      1 |    33 |  316 |   52 |   44 |      |   9 |     
 2015 |   4201 |    380 |  1239 |   545 |  53221 |      2 |    12 |  124 |  148 |   99 |  171 |   8 |  689
 2015 |   4401 |    268 |   365 |   709 |   9371 |     16 |    34 |  108 |  141 |   75 |      |  22 |   19
 2015 |   4402 |    314 |   548 |  1006 |  12388 |     14 |    36 |  233 |  189 |   42 |      |  14 |   70
 2015 |   4403 |    368 |   854 |  1318 |  24670 |     15 |    34 |  554 |  190 |   44 |      |  18 |   48
 2015 |   4404 |    234 |   331 |   755 |   8484 |     11 |    33 |  128 |   94 |   80 |      |  12 |   17
 2015 |   4405 |    200 |   311 |   536 |   9239 |     11 |    30 |  146 |  119 |   11 |      |  11 |   24
 2015 |   4406 |    286 |   486 |   884 |  13712 |     13 |    32 |  252 |  165 |   26 |      |  13 |   30
 2015 |   4407 |    369 |   604 |  1441 |  19030 |     20 |    37 |  259 |  252 |   27 |      |  19 |   47
 2015 |   4408 |    218 |   351 |   444 |   9448 |     12 |    33 |  173 |  124 |   20 |      |  11 |   23
 2015 |   4409 |    286 |   342 |   408 |   7212 |      2 |    32 |  100 |  149 |   80 |      |  13 |     
(148 rows)

